employee_id,q_work_life_balance,q_manager_effectiveness,q_career_growth,overall_satisfaction,satisfaction_category,open_comment
EMP0001,2.0,4.0,4.0,2.0,Low,Too much workload
EMP0002,4.0,5.0,2.0,4.0,High,Great place to work
EMP0003,3.0,2.0,3.0,2.0,Low,No work life balance
EMP0004,4.0,4.0,3.0,5.0,High,Love my team
EMP0005,,4.0,2.0,4.0,High,Love my team
EMP0006,2.0,,4.0,3.0,Medium,Could be better
EMP0007,1.0,4.0,3.0,3.0,Medium,Average experience
EMP0008,4.0,3.0,4.0,3.0,Medium,Normal workplace
EMP0009,2.0,4.0,2.0,4.0,High,Great place to work
EMP0010,4.0,3.0,5.0,5.0,High,Happy with benefits
EMP0011,3.0,2.0,2.0,3.0,Medium,Nothing special
EMP0012,4.0,5.0,3.0,5.0,High,Great place to work
EMP0013,3.0,5.0,4.0,4.0,High,Great place to work
EMP0014,,4.0,3.0,3.0,Medium,Average experience
EMP0015,2.0,4.0,4.0,3.0,Medium,Could be better
EMP0016,3.0,5.0,2.0,4.0,High,Love my team
EMP0017,1.0,4.0,5.0,3.0,Medium,Normal workplace
EMP0018,3.0,5.0,3.0,4.0,High,Happy with benefits
EMP0019,4.0,4.0,2.0,4.0,High,Great place to work
EMP0020,2.0,5.0,3.0,3.0,Medium,Normal workplace
EMP0021,3.0,4.0,4.0,4.0,High,Love my team
EMP0022,2.0,4.0,2.0,3.0,Medium,Normal workplace
EMP0023,,3.0,2.0,3.0,Medium,Nothing special
EMP0024,3.0,4.0,3.0,4.0,High,Love my team
EMP0025,5.0,3.0,2.0,3.0,Medium,Nothing special
EMP0026,4.0,3.0,5.0,4.0,High,Happy with benefits
EMP0027,3.0,3.0,3.0,2.0,Low,No work life balance
EMP0028,5.0,3.0,4.0,3.0,Medium,Average experience
EMP0029,4.0,5.0,3.0,4.0,High,Love my team
EMP0030,4.0,5.0,2.0,4.0,High,Supportive manager
EMP0031,3.0,5.0,3.0,4.0,High,Excellent culture
EMP0032,3.0,3.0,4.0,3.0,Medium,Work is okay
EMP0033,3.0,4.0,3.0,4.0,High,Love my team
EMP0034,3.0,3.0,5.0,3.0,Medium,Could be better
EMP0035,,3.0,4.0,2.0,Low,No work life balance
EMP0036,3.0,3.0,4.0,4.0,High,Great place to work
EMP0037,2.0,5.0,3.0,3.0,Medium,Average experience
EMP0038,2.0,3.0,2.0,2.0,Low,Low career growth
EMP0039,5.0,5.0,2.0,5.0,High,Great place to work
EMP0040,3.0,,3.0,3.0,Medium,Work is okay
EMP0041,2.0,,4.0,4.0,High,Excellent culture
EMP0042,4.0,2.0,1.0,3.0,Medium,Normal workplace
EMP0043,2.0,5.0,3.0,3.0,Medium,Work is okay
EMP0044,1.0,5.0,3.0,4.0,High,Great place to work
EMP0045,2.0,3.0,3.0,3.0,Medium,Nothing special
EMP0046,4.0,5.0,5.0,5.0,High,Happy with benefits
EMP0047,2.0,4.0,4.0,4.0,High,Great place to work
EMP0048,3.0,,5.0,4.0,High,Supportive manager
EMP0049,2.0,3.0,3.0,3.0,Medium,Average experience
EMP0050,1.0,,4.0,4.0,High,Happy with benefits
EMP0051,3.0,5.0,5.0,4.0,High,Excellent culture
EMP0052,2.0,4.0,5.0,3.0,Medium,Normal workplace
EMP0053,3.0,5.0,2.0,4.0,High,Excellent culture
EMP0054,3.0,3.0,3.0,4.0,High,Happy with benefits
EMP0055,3.0,3.0,3.0,2.0,Low,Poor management
EMP0056,1.0,5.0,4.0,2.0,Low,Too much workload
EMP0057,2.0,2.0,4.0,2.0,Low,Too much workload
EMP0058,3.0,3.0,2.0,2.0,Low,Poor management
EMP0059,1.0,,3.0,2.0,Low,No work life balance
EMP0060,3.0,4.0,1.0,3.0,Medium,Average experience
EMP0061,4.0,4.0,5.0,4.0,High,Love my team
EMP0062,,4.0,3.0,3.0,Medium,Average experience
EMP0063,4.0,4.0,3.0,4.0,High,Supportive manager
EMP0064,4.0,5.0,3.0,5.0,High,Excellent culture
EMP0065,3.0,3.0,5.0,3.0,Medium,Nothing special
EMP0066,4.0,4.0,1.0,4.0,High,Excellent culture
EMP0067,4.0,5.0,3.0,5.0,High,Love my team
EMP0068,5.0,5.0,3.0,5.0,High,Excellent culture
EMP0069,2.0,2.0,3.0,3.0,Medium,Work is okay
EMP0070,4.0,4.0,5.0,5.0,High,Love my team
EMP0071,4.0,2.0,2.0,3.0,Medium,Work is okay
EMP0072,2.0,4.0,4.0,3.0,Medium,Average experience
EMP0073,1.0,5.0,4.0,3.0,Medium,Normal workplace
EMP0074,3.0,,5.0,3.0,Medium,Could be better
EMP0075,5.0,3.0,2.0,4.0,High,Happy with benefits
EMP0076,4.0,5.0,2.0,3.0,Medium,Could be better
EMP0077,3.0,2.0,5.0,3.0,Medium,Could be better
